Kernel,Accuracy,Precision,Recall,F1 Score,ROC-AUC
linear,0.880734,0.780488,0.888889,0.831169,0.951294
poly,0.889908,1.0,0.666667,0.8,0.957382
rbf,0.908257,0.861111,0.861111,0.861111,0.949201
sigmoid,0.899083,0.837838,0.861111,0.849315,0.929604
